Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/graphql,42,0,130.0,178.6625309517452,111.52769999898737,537.0581000024686,1066.5238095238096,2.3590557133252,0.0,130,150,160,170,420,430,540,540,540,540,540
,Aggregated,42,0,130.0,178.6625309517452,111.52769999898737,537.0581000024686,1066.5238095238096,2.3590557133252,0.0,130,150,160,170,420,430,540,540,540,540,540
